name,population,needs_permit,x,y,z,id,edsm_id,primary_economy
Dakshmandi,4917879,0,106.21875,-127.65625,37.65625,4000,13785,Extraction
Dakvar,161723,0,5.96875,-81.4375,-31.71875,4002,13854,Industrial
Dalagritu,19263040,0,-75.46875,178.15625,-58.375,4004,19691,Industrial
Dalam,185159,0,83.59375,14.71875,3.53125,4005,20087,Military
Dalat,3246903,0,196.65625,-159.15625,4.71875,4008,42,Industrial
Dalevard,12367708,0,-47,36.6875,-62.375,4009,3509,High Tech
Dalfur,2500967,0,-11.09375,-40.34375,-73.0625,4010,12752,Agriculture
Dalia,2393442,0,-2.65625,-58.28125,16.34375,4011,1405,Industrial
Dalla,6631045,0,33.0625,67.8125,-27.6875,4013,9330,Industrial
Damna,559029065,0,-40.53125,4.375,-124.25,4016,4848,Agriculture
Damnon,16592023,0,-28.78125,148.0625,-37.1875,4018,9495,Industrial
Damocan,2507740,0,-13.25,-29.71875,75.125,4019,14527,Industrial
Damona,9376974,0,78.0625,-141.46875,61.09375,4021,14801,Industrial
Damontae,3025740,0,134.0625,-35.09375,-8.96875,4022,8472,Industrial
Damoorai,1622221,0,163.53125,-167.625,-12.875,4023,14898,Industrial
Dan,2935719,0,-19.375,-101.84375,-141.34375,4025,17883,Terraforming
Dangai,7038062,0,-28.78125,-9.625,126.15625,4028,12791,Industrial
Dangarla,1834720,0,59.28125,-42.125,-26.59375,4029,5831,Industrial
Dangtei,2763466,0,146.8125,-151.4375,23.78125,4033,4740,Extraction
Dao Jungu,13815238492,0,15.78125,35.34375,65.21875,4037,14114,Agriculture
Dao Tzu,2585004,0,-36.65625,-124.28125,-99.1875,4040,7270,Industrial
Dao Zi,13663775,0,12.875,114.375,29,4041,10262,Industrial
Darahk,21193,0,-65,27,-37,4043,12358,Extraction
Daraj,1671790798,0,81.65625,-103.5625,99.78125,4044,16582,Agriculture
Daraki,43086276,0,22.65625,129.21875,-6.09375,4045,14673,Industrial
Daramo,2023117559,0,-5.375,-74,21.9375,4047,15341,Agriculture
Daras,349450570,0,-107.6875,82.78125,-21.75,4048,3933,Agriculture
Darudnikepa,3634638,0,-99.15625,-6.1875,-20.25,4056,8027,Industrial
Dasyapor,2298362,0,70.6875,151.6875,69.3125,4063,3747,Extraction
Daurtu,1528577,0,-47.53125,48.90625,-110.90625,4064,19336,Industrial
Dazhbogati,4361979,0,-120.21875,-41.09375,-17.53125,4066,9697,Industrial
Decamandak,203103,0,-138.9375,26.46875,112.125,4069,3559,Refinery
Decantae,4282807,0,145.34375,-123.4375,76.4375,4071,11860,Industrial
Deceangli,2158338,0,11.65625,12.65625,99.78125,4073,8562,Industrial
Dechengh,7372468,0,96.8125,-23,-94.4375,4076,9264,Industrial
Decht,1863489,0,20.125,-7.96875,156.90625,4077,2152,Industrial
Deciat,31778844,0,122.625,-0.8125,-47.28125,4079,1547,Industrial
Decima,260986,0,35.9375,-34.4375,-30.4375,4080,12652,Military
Degardhi,2648027,0,33.65625,-205.71875,-37.6875,4083,2874,Industrial
Degastani,4728573,0,-118.5625,-75.5625,26.78125,4084,19289,Terraforming
Deiva,23004549,0,104.4375,73.5625,82.3125,4086,9662,Industrial
Deive,6413168,0,-121.25,-99.40625,9.1875,30393,184235,High Tech
Delkar,283812,0,67.8125,32.65625,35.25,4087,10717,Industrial
Delphi,305894,0,-63.59375,-147.40625,-319.09375,23118044,30616616,High Tech
Delphin,1024750044,0,18.65625,16.75,-76.3125,4088,9,Agriculture
Delta Doradus,5206335,0,127.15625,-77.875,12.125,4089,8857,Industrial
Delta Equulei,5501158,0,-47.4375,-26.46875,26.1875,4090,8372,Industrial
Delta Leporis,4561889953,0,76,-42.15625,-73.34375,4092,11302,Agriculture
Delta Muscae,2343759787,0,74.375,-14.1875,50.28125,4093,18550,Agriculture
Delta Pavonis,5035423,0,8.375,-10.84375,14.46875,4095,4225,Refinery
Delta Phoenicis,15000000,0,53.90625,-130.6875,14.65625,4096,6704,High Tech
Delta-2 Canis Minoris,11390589,0,76.90625,26.71875,-109.1875,4097,18394,Industrial
Demeter,4723756,0,-55.34375,40.8125,7.5625,4098,6408,Industrial
Demeti,265196126,0,83.28125,-51.125,102.03125,4099,9869,Agriculture
Deneb Algedi,602608,0,-16.5,-28.09375,20.875,4100,10173,Refinery
Denebola,16745928,0,11.09375,33.90625,-3.5,4101,7994,Industrial
Deorii,20887148,0,175.875,-136.75,42.40625,4103,4557,Industrial
Deorini,1909799,0,154.5625,-69.78125,-29.90625,4104,1617,Industrial
Deriso,355036,0,-9520.3125,-909.5,19808.75,10921778,13729662,Agriculture
Deriv-Dar,4962233163,0,-4.46875,11,-82.71875,4108,11464,Agriculture
Derrim,17880030,0,-16.625,-32.40625,81,4109,10864,High Tech
Desubi,10103296,0,63.625,-80.90625,159.0625,4112,11382,High Tech
Desurinbin,22909311,0,140.5,28.1875,-117.0625,4113,6187,Industrial
Detta,5467649134,0,-40.125,6.28125,92.03125,4116,12020,Agriculture
Deuringas,655089136,0,137.3125,3.84375,-35.90625,4119,17968,Terraforming
Devadatta,2670249,0,37.3125,-44.8125,-133.8125,4120,19251,Industrial
Devaku,444234,0,117.25,-72.8125,27.34375,4122,9635,Refinery
Devana,1301013012,0,-39.5,-97.40625,74.375,4123,5528,Agriculture
Devane,7855404,0,20.1875,-121.1875,-29,4124,8952,High Tech
Devata Baru,7279003,0,-133.15625,-7.6875,63.5625,4127,15978,Industrial
Devataru,3639421,0,24.28125,19.34375,90.9375,4128,17303,Industrial
Dewindji,5154742,0,109.25,-1.03125,-78.21875,4133,19414,Industrial
Deywotho,838468643,0,-140.3125,-6.59375,-13.875,4137,11173,Terraforming
Dhaku,4906980,0,-71.09375,41.5625,-133.875,4141,585,Industrial
Dhan,5522735,0,0.875,-219.46875,60.8125,4144,3606,Extraction
Dhanchu,2717668,0,-118.90625,47.46875,76.34375,4145,10183,Terraforming
Dhang,14700665,0,128.40625,-48.5,60.5,4146,16255,Industrial
Dhang K'an,169178,0,106.5,82.90625,-60.5625,4147,15824,Refinery
Dhangba,485030843,0,-97.03125,-1.15625,-82.1875,4150,13298,Agriculture
Dhanhopi,35245727,0,-6.90625,79.625,-27.625,4152,6517,Industrial
Dhanka,376227858,0,-70.3125,-111.90625,22.53125,4153,1582,Agriculture
Dharaces,11462575,0,107.6875,8.6875,120.9375,4156,17935,Industrial
Dharina,21220420,0,-122.375,-21.5625,39.6875,4162,16110,Industrial
Dharragense,17659683,0,-46.03125,58.0625,-93.5,4165,7484,Industrial
Dharuek,1202085611,0,-43.125,-14.40625,104.9375,4166,16864,Agriculture
Dharuwar,150208,0,142.90625,74.375,35.90625,4167,13977,Military
Dhata,15024380,0,-22.6875,133.90625,-30.40625,4168,19247,Industrial
Dhathaut,2558347200,0,-23.625,61,106.46875,4169,9555,Agriculture
Dheneb,23280443,0,-24.9375,-118,-28.625,4171,8536,High Tech
Dhodia,377127,0,6.65625,25.625,107.21875,4172,15895,Terraforming
Dhrutin,4748075,0,-62.5625,-42.4375,5.125,4176,10871,Industrial
Dhruva,9590236,0,76.28125,-134.75,118.75,4177,3128,Industrial
Di Jian,5186570763,0,-16.5625,108.25,5.34375,4178,11680,Agriculture
Di Kuana,434625449,0,-35.75,-37.78125,100.59375,4180,15009,Agriculture
Di Yomi,1073771390,0,104.59375,-178.84375,57.75,4183,3652,Agriculture
Diaba,3966498,0,164,-99.6875,6.96875,4185,15246,Industrial
Diabak,9754497668,0,35.84375,-22,-24.15625,4186,2754,Agriculture
Diabanda,19211388,0,91.21875,-25.96875,-57.53125,4187,14176,Industrial
Diaguandri,10326175,0,-41.0625,-62.15625,-103.25,4191,7479,High Tech
Dian,4664040,0,48.375,-105.34375,-80.65625,4194,19924,Extraction
Didarengu,9326820,0,27.375,18.1875,-89.46875,4196,17740,Industrial
Didio,1925756065,0,73,68,33.03125,4200,3869,Industrial
Didiomanja,372448325,0,77.6875,-73.8125,-91.09375,4201,1525,Terraforming
Dierfar,10243873820,0,73.375,38.71875,10.8125,4203,6944,Agriculture
Dierites,430625753,0,23.6875,-75.96875,-17.03125,4204,12010,Agriculture
Dietri,1632891476,0,-5.375,71.5625,-54.25,4206,3125,Agriculture
Dievat,12444069,0,85.53125,-84.375,-3.125,4208,7180,Industrial
Difu,680887,0,-34.40625,1.4375,-27.875,4209,13397,Refinery
Diggidiggi,327633,0,-9518.34375,-893.09375,19822.90625,10924229,13728422,Extraction
Dijkstra,183401,0,103.75,57.46875,73.375,4210,12253,Industrial
Dilati,14470419,0,-15.1875,64.71875,-64.09375,4212,859,Industrial
Dilwanes,1787999,0,120.4375,16.125,-87.84375,4217,14262,Extraction
Dimai,181112,0,91.21875,34.625,-106.84375,4219,5503,Refinery
Dimaratem,2326956,0,-184.375,70.9375,9.84375,4220,17762,Industrial
Dimoco,1192461013,0,-73.625,22.15625,59.1875,4221,16857,Agriculture
Dimocorna,2002791,0,20.3125,-51.4375,165.375,4222,7291,Industrial
Dimor,7621948502,0,111.25,-80.5625,25.71875,4223,1579,Agriculture
Dinda,1530621,0,-21.9375,-52.15625,-66.625,4227,11542,Industrial
Dindjeris,4009512,0,123.28125,66.25,29.78125,4230,16511,Industrial
Dinkas,12390703,0,19.40625,-163.1875,77.5625,4231,3857,Industrial
Dis Pater,7130344,0,-3.15625,-66.40625,95.6875,4236,9030,High Tech
Disci,9936389,0,16.03125,97.59375,-29.59375,4237,10021,High Tech
Diso,4100025331,0,72.15625,48.75,70.75,4238,15480,Extraction
Ditae,5848438,0,0.9375,-157.34375,-6.21875,4239,14501,Industrial
Ditia,4944211,0,32.46875,-39.59375,-36.5,4240,7998,High Tech
Ditian,14021774,0,97.4375,-89.09375,65.96875,4241,558,Industrial
Ditibi,2132286363,0,28.9375,-11.53125,3.46875,4242,26669,Industrial
Diticush,4020637,0,91.6875,-101.15625,-86.84375,4243,11149,Industrial
Divja Mocha,3733543,0,58.625,-207.9375,49.15625,4245,10075,Industrial
Djabea,29655330,0,123.78125,-144.8125,125.25,4250,15635,Industrial
Djabugandji,3259629,0,1.71875,34.78125,119.34375,4253,3769,Industrial
Djabushis,2393085,0,-30.96875,-31.90625,34.0625,4254,12816,Industrial
Djaghire,4694158797,0,141.5,-173.75,23.34375,4257,9184,Agriculture
Djakah,8908379,0,105.53125,-134.46875,101.25,4261,7227,Extraction
Djakam,3274151,0,24.1875,80.5,-60.09375,4262,6539,Industrial
Djalakuru,5466899,0,-70.5625,-98.21875,124.625,4264,3877,Industrial
Djalibara,2481377065,0,2.40625,-97.46875,46,4266,16456,Agriculture
Djalkyries,3958593,0,110.3125,-154,100.875,4267,5534,Extraction
Djamaygani,10142602,0,65.78125,95.65625,82.0625,4268,19581,Industrial
Djambarex,1617960,0,-1.375,-17.375,140.65625,4269,8614,Industrial
Djambe,11060149,0,-56.5625,4.53125,156.90625,4270,8247,Industrial
Djamburii,137068,0,14.8125,-181.40625,50.46875,4273,13129,Extraction
Djand,1473474,0,3.25,-44.0625,-92.1875,4275,13811,Industrial
Djari,2074958,0,-54.3125,-76.84375,151.25,4284,13260,Industrial
Djau,5310085,0,7.59375,-32.5625,86.90625,4285,16281,Industrial
Djaujas,2682764,0,-69.09375,75.6875,10.21875,4288,7983,Agriculture
Djendelis,20032262,0,12.21875,11.59375,69.6875,4292,12223,Industrial
Djenni,123621,0,126.15625,-66.6875,-3.1875,4295,10829,Refinery
Djera,10231577,0,123.875,-177.875,-9.65625,4296,10047,Industrial
Djeranses,6902716,0,96.34375,-63.03125,-40.03125,4298,1924,Industrial
Djerato,6488887,0,151.90625,-216.28125,31.5,4299,4329,Industrial
Djeriman,9167899,0,137.4375,26.125,-45.78125,4300,4491,Industrial
Djinajeri,1517822,0,103.375,-1.96875,112.90625,4302,9634,Industrial
Djinaura,4081723,0,-91.03125,-36.75,-60.5625,4303,19407,Industrial
Djinba,132250877,0,-118.375,-48.28125,-63,4304,18478,Industrial
Djira,24285803,0,181.8125,-132.78125,31.78125,4306,4056,Industrial
Djiraja,6314166,0,172.625,-54.46875,65.90625,4308,12288,Industrial
Djirbalngan,1507401,0,-62.75,-61,111.4375,4310,19770,Industrial
Djiruach,20185901,0,130.875,-106.625,-73.5625,4311,14778,Industrial
Djiwal,3025517718,0,119.53125,-0.125,-41.0625,4314,12685,Agriculture
Djowenet,4961986423,0,37.6875,-23.96875,117,4318,16561,Agriculture
Djuhti,465956,0,-6.8125,92.65625,24.8125,4319,13133,Tourism
Dobunn,4015569,0,-55.25,5.25,118.5625,4323,6268,Extraction
Docleachi,5101342,0,76.96875,-2.9375,21.15625,4324,3684,Refinery
Dohkwithi,2769359,0,-63.34375,148.21875,10.25,4327,17284,Agriculture
Domoira,10583095,0,10.03125,111.125,-83.21875,4331,17846,Industrial
Domoirene,67887708,0,-22.96875,79.75,41.84375,4332,1855,Industrial
Domoth,27315000,0,33.0625,-127,-42.46875,4333,4901,Industrial
Don,17071577,0,-38.125,-51.78125,28.53125,4336,13220,Industrial
Dongasa,11613992,0,110.25,-26.875,91.75,4340,17990,Industrial
Dongkum,439405096,0,-17.875,-11.75,-90.4375,4342,19674,Agriculture
Dongzi,7494503,0,61.65625,-93.71875,-14.03125,4345,11033,Industrial
Doolona,5474998,0,114.28125,-166.40625,108.1875,4346,14086,Terraforming
Dounthiassi,49352365,0,107.59375,-156,78.625,4352,8552,Industrial
Dountidi,3292617,0,103.90625,4.625,19.78125,4353,6428,Industrial
Draguan Nu,2937227,0,-70.0625,-81.875,-73.03125,4358,12207,Industrial
Draur,2644069,0,-69.625,-7.4375,150.5625,4363,11695,Industrial
Dread,6413653,0,-44.65625,-86.5625,13.03125,372699,3123314,Industrial
Drevlyada,4525064923,0,-40.90625,-35.4375,86.34375,4366,17187,Industrial
Dromi,150000,1,25.40625,-31.0625,41.625,43915,105443,High Tech
Du Shenge,4355387,0,-43.5625,17.3125,-69.84375,4373,14142,Refinery
Duamta,13327723347,0,2.1875,6.625,-7,4374,8420,Agriculture
Duberdicus,3632679,0,21.375,-85,47.25,4375,18091,Industrial
Duc Bari,3662730,0,38.375,108.03125,-55.28125,4379,9857,Industrial
Dugnatlehi,3546469,0,75.34375,-204.625,-61.75,4386,11075,Extraction
Dulerce,287191965,0,49.03125,25.6875,-73,4387,1675,Refinery
Dulos,564373351,0,29,-71.34375,45.5,4389,13122,Agriculture
Duloskitoke,3245361,0,90.125,-38.46875,-3.96875,4390,19061,Industrial
Dumnites,1287145884,0,138.21875,-120.25,-22.0625,4392,12343,Agriculture
Dumnon,1437925,0,-0.5625,-17.375,107.03125,4393,14987,Industrial
Dumnona,1094550647,0,-16.4375,4.78125,52.65625,4394,1280,Agriculture
Duro,19013069,0,117.34375,-119.0625,153,4398,6017,Terraforming
Durok,2095574,0,-99.3125,-43.03125,118.9375,4400,4016,Industrial
Duryampas,4916761,0,99.78125,-103.1875,121.90625,4404,14298,Terraforming
Duulngari,6821760,0,175.65625,-106.78125,5.15625,4406,9226,Industrial
Duwali,12271632,0,-96.09375,30.15625,19.71875,4407,3880,Industrial
Duwar,168977,0,-141.03125,-57.125,87,4408,18984,Terraforming
Duwaredari,5401459,0,62.8125,-52,-1.5625,4409,1727,Industrial
Dvorsi,65194350,0,77.59375,-96.5625,7.3125,4411,12180,High Tech
Dxui,8461328,0,97.375,-160.375,11.875,4415,12606,Terraforming
Dyaushibi,1819864954,0,112.875,-20.75,-33.03125,4417,14454,Agriculture
Dyava,7671535,0,132.71875,-18.09375,-101.5625,4418,7740,Industrial
Dyavansana,1393534,0,-80.375,147.59375,19.71875,4419,4652,Extraction
Dyavareldi,7700833,0,123.90625,-11.6875,80.09375,4420,12496,Terraforming
Dyin,4566530,0,35.0625,-175.5625,-2.15625,4423,17441,Industrial
Dyingia,2084559,0,-6.625,-163.5,-80.875,4425,10440,Industrial
DzacaliTem,2704396,0,104.5,-110.9375,-83.09375,4429,10302,Industrial
Dzalak Mani,1602073,0,98.90625,-191.28125,110.625,4433,11660,Industrial
DzaliTemu,3823779,0,79.46875,-18.8125,20.8125,4434,8414,Industrial
EGGR 431,39034275,0,31.6875,36.75,-28.40625,4469,13962,High Tech
EGM 823,35333763,0,10.59375,-75.875,-9.03125,4472,12129,Industrial
EP Eridani,28424422,0,3.84375,-28.53125,-17.65625,4579,16268,Industrial
EQ Pegasi,18331707,0,-15.4375,-12.75,-2.5625,4600,9103,High Tech
EZ Aquarii,9930324,0,-4.4375,-9.3125,4.09375,4724,12065,High Tech
Eagle Sector IR-W d1-105,44773,0,-2046.21875,104.40625,6699.90625,32174,57929,Extraction
Eban,2817324,0,146.96875,-61.8125,72.8125,4441,16372,Industrial
Ebana,5803886,0,151.65625,-14.9375,-15.03125,4442,13585,High Tech
Ebisu,19395512,0,69.6875,-78.3125,-130.9375,4446,1384,Terraforming
Ebor,20519241,0,-30.71875,-49.6875,-113.8125,4447,3801,Industrial
Eburnakura,2525375,0,92.375,-85.21875,66.65625,4449,12033,Extraction
Edanditis,6570791,0,71.65625,-33.6875,72.3125,4451,664,Refinery
Ededleen,2546420436,0,93.0625,41.4375,82.3125,4452,20066,Agriculture
Edenapel,5667038424,0,6.1875,7.34375,39.21875,4454,17045,Agriculture
Edene,2719900,0,105.5,21.59375,109.9375,4455,10426,Industrial
Edenses,5804025,0,14.46875,-3.4375,-104.375,4456,8510,Industrial
Edenwi,1787673,0,-50.75,-169.84375,-70.03125,4458,4918,Industrial
Edin,5277339,0,27.1875,-43.96875,-12.21875,4459,15709,High Tech
Eeyen,3440800,0,101.5625,45.21875,22.59375,4465,17174,Industrial
Ega,4685476,0,31.75,17.5625,114.09375,4467,15927,Extraction
Egovae,4916202102,0,61.8125,-79.125,32.9375,4474,8153,Agriculture
Egovi,27178028,0,55.5,-82.125,174.15625,4475,4200,Industrial
Ehecatl,7678269004,0,29.59375,-42.25,42.125,4477,8290,Agriculture
Ehlanda,12297893,0,115.15625,-160.8125,75.90625,4479,14767,Extraction
Ehlangai,12715226,0,-51.53125,35.15625,-46.125,4480,4044,Industrial
Ehlauneti,123298,0,-20.625,-113.375,-101.9375,4481,14289,Refinery
Eingasan,321400740,0,130.09375,-121.0625,98.75,4483,3306,Agriculture
Eingin,1158436238,0,-45.625,-79.5,94.40625,4484,1976,Agriculture
Einheriar,468662,0,-9557.8125,-880.1875,19801.5625,10918645,13729264,Service
Eir,3148244,0,134.125,34.9375,-42.125,4485,4007,Industrial
Eitha,13641431,0,38.84375,10.5625,152.875,4486,9323,Industrial
Eithure,8696030,0,-82.53125,5.90625,115.78125,4488,2592,Industrial
Ejagh,1715105,0,-47.34375,48.40625,67.5,4492,18874,Extraction
Ejagham,636281,0,53.78125,-20.375,-23.15625,4494,9281,Tourism
Ejaghan,416924762,0,113.28125,47.625,77.125,4495,8299,Terraforming
Ekchucosi,10318400,0,71.21875,114.1875,76.4375,4499,3840,Industrial
Ekhi,1366753,0,-11.53125,-34.6875,-37.34375,4500,4325,Service
Ekoimudji,3042692,0,-42.625,-143,18.59375,4503,15231,Refinery
Ekondhri,25987664,0,110.71875,-75.0625,112.5,4507,9333,High Tech
Ekono,2474591197,0,59.125,-155.15625,99.8125,4510,13727,Agriculture
Ekur,9297226,0,-119.3125,-52.875,-56.15625,4511,8560,Industrial
Elaba,2585074,0,86.84375,-41.84375,118,4516,19199,Industrial
Elata,6856420,0,-82.875,93.09375,-89.15625,4517,10978,Terraforming
Elboong,5415411,0,-122.5,-99.125,88.125,4519,6033,Industrial
Elboongzi,3252539,0,-122.5,48.34375,-95,4520,8911,Industrial
Electra,1200000,0,-86.0625,-159.9375,-361.65625,20550,24482,Industrial
Eledas,3474881,0,153.15625,27.9375,-9.53125,4521,4401,Extraction
Eledolyaks,7003299,0,-66.40625,125.0625,-17.875,4523,8674,Industrial
Eleu,2053704512,0,-29.65625,32.6875,104.84375,4526,17394,Agriculture
Eleumo,798712,0,45.59375,-59.0625,61.46875,4527,9883,Refinery
Elivagar,6839405007,0,-34.4375,21.5625,-93.15625,4529,1158,Agriculture
Elli,29867147,0,60.1875,-1.03125,-6.03125,4530,12893,High Tech
Ellri,25153673,0,67.78125,-42.28125,59.53125,4531,13786,Industrial
Elska,4932449,0,-63.875,-10.78125,-67.40625,4532,13247,High Tech
Eluscap,21684242,0,-30.03125,118.8125,-0.65625,4533,13928,Industrial
Elusughna,5158989,0,-69.28125,-81.84375,-3.90625,4535,495,Industrial
Elycoch,1456853,0,137.40625,57.0625,45.34375,4536,16542,Industrial
Elysia,253010,0,115.09375,-110.53125,16.59375,4539,2859,Colony
Ember,9419757,0,64.21875,-139.4375,-23.03125,4540,8887,Industrial
Emblandjin,4737287,0,106.84375,70.0625,52.25,4541,16291,Industrial
Emblannovii,419801387,0,67.53125,-214,82.3125,4542,5824,Terraforming
Eme,4831211,0,33.71875,26.21875,4.03125,4543,19493,Refinery
En Kungu,2161643,0,-60.09375,146.34375,10.53125,4547,5141,Industrial
En Kunthurs,14209466,0,16.6875,-85.21875,-99,4548,14384,Industrial
Enawai,58993538,0,94.375,67.34375,-83,4549,12731,Terraforming
Enawar,7968339,0,-63.75,-78.65625,86.28125,4550,1134,Industrial
Enaworka,9355614,0,11.6875,-158.21875,40.8125,4551,19622,Industrial
Enayex,3703690,0,45.59375,-51.90625,-39.46875,4552,572,Industrial
Enchimanda,1187734,0,109.0625,-26.5625,89.28125,4554,1398,Industrial
Enek,17060242,0,37.25,32.71875,-87.28125,4557,4464,Industrial
Enekpengyi,3865212,0,-24.53125,59.25,120.8125,4558,16539,Industrial
Enga,2906569,0,40.71875,94.8125,-49.3125,4563,9118,Industrial
Enki,5220301,0,-68.0625,70.78125,-37.78125,4565,16675,Extraction
Ennead,3165243943,0,40.6875,-26.59375,3.71875,4566,19362,Agriculture
Ensoreus,342691624,0,69.15625,66.21875,69.5625,4567,16115,Agriculture
Eochumlia,3670176,0,30.625,-43.21875,88.78125,4571,17663,Industrial
Eol Prou PC-K c9-91,150000,0,-9533.46875,-913.125,19819.71875,1446904,4205334,Industrial
Eorasa,4048205,0,-103.5,-98.9375,66.5,4572,14865,Industrial
Eotienses,6467401235,0,49.5,-104.03125,6.3125,4575,5797,Agriculture
Epoma,22385744,0,132.0625,-59.125,52.1875,4580,3332,Industrial
Epomamo,2448910,0,67.03125,-44.5,45.09375,4582,8635,Industrial
Epomana,3733289,0,19.40625,17.53125,123.3125,4583,3352,Industrial
Epomani,2303878,0,-161.71875,-50.15625,-4.5625,4584,10128,Terraforming
Epsilon Ceti,15076951,0,5.78125,-76.21875,-43.96875,4587,17416,Industrial
Epsilon Cygni,16103012,0,-70.28125,-7.53125,17.03125,4588,10155,Refinery
Epsilon Eridani,80020906,0,1.9375,-7.75,-6.84375,4589,13892,Agriculture
Epsilon Hydri,88600,0,100,-109.15625,33.8125,4591,8317,Colony
Epsilon Indi,4000005459,0,3.125,-8.875,7.125,4592,20029,Agriculture
Epsilon Pavonis,5154328,0,55.09375,-54.65625,70.8125,4595,15882,Industrial
Epsilon Phoenicis,3006355,0,29.21875,-135.5625,39.59375,4596,3505,Extraction
Epsilon Scorpii,7936392052,0,11.875,6.625,62.21875,4597,16199,Agriculture
Epsilon Serpentis,10801109075,0,-12.34375,46.25,51.65625,4598,6037,Agriculture
Equagei,7220737,0,-161.03125,-1.75,-20.59375,4602,18388,Industrial
Er Lanci,3248086,0,100.125,-183.25,119.53125,4605,1610,Industrial
Er Longs,1080498408,0,60.4375,-79.34375,-64.34375,4607,12161,Agriculture
Eranin,459296,0,-22.84375,36.53125,-1.1875,4611,34,Agriculture
Eravapa,29614017,0,77.4375,-60.78125,68.375,4613,19090,High Tech
Eravate,740394195,0,-42.4375,-3.15625,59.65625,4615,1612,Agriculture
Eravians,9820042,0,75.28125,8.53125,-143.5,4616,12821,Industrial
Erdi,6664756,0,-2.28125,-70.78125,113.65625,4618,7497,Industrial
Erh Lohra,5585524,0,80.1875,-80.1875,-8.71875,4619,14029,Industrial
Erio,19736757,0,30.28125,-93.46875,88.78125,4621,8349,High Tech
Erisagirari,1489587,0,-8.34375,-87.71875,1.59375,4622,1268,Industrial
Erishiko,2074722,0,-48.59375,86.9375,34.03125,4624,2513,Extraction
Erivia,13069335,0,76.875,-80.59375,40.0625,4627,10736,High Tech
Erivit,3174449920,0,86.53125,35.5625,-39.34375,4628,8357,Agriculture
Esautama,3136465,0,57.40625,-43.5625,86.8125,4635,16887,Industrial
Ese Buj,7725995,0,-11.5625,-143.78125,-75.46875,4638,6178,Terraforming
Ese Eyo,2042662,0,148.125,-71.4375,86.4375,4639,4579,Industrial
Eseasa,2253797112,0,36.78125,-153.9375,17.71875,4640,14118,Agriculture
Eshu,1534138,0,120.78125,-247.1875,-16.4375,4641,3286,Industrial
Esien Ming,13071822595,0,32.65625,69.59375,59.59375,4642,19147,Agriculture
Eskimori,18026593,0,47.84375,12.875,129.5625,4644,18838,Industrial
Eskite,12242767,0,16.28125,-138,-47.9375,4646,12646,Industrial
Estae,10676127,0,17.9375,-62.625,-89.5625,4647,9364,Industrial
Esubilanque,13329059,0,90.65625,-78.5625,-25.5625,4651,5157,Industrial
Esumasci,23664335,0,-117.6875,-120.4375,-8.15625,4653,3329,Industrial
Esumindii,8499561,0,44.875,31.5625,56.40625,4654,6997,High Tech
Esuseku,608995004,0,-107.875,29.5625,-20.9375,4655,14815,Agriculture
Esuvit,5093011,0,-13.1875,-1.15625,-92.6875,4656,13889,Terraforming
Eta Cassiopeiae,9000007098,0,-16.25,-1.625,-10.5625,4660,10516,Agriculture
Eta Cephei,346517,0,-45.125,9.375,-6.4375,4661,11236,Refinery
Eta Coronae Borealis,12411625073,0,-23.78125,48.4375,21.9375,4662,1692,Agriculture
Eta Draconis,755397360,0,-69.53125,60.28125,-2.9375,4665,9732,Agriculture
Eta Horologii,3750205654,0,79.1875,-125.71875,2.34375,4666,15088,Agriculture
Eta Indi,40462951,0,13.9375,-49.34375,59.875,4667,9450,Industrial
Eta Leporis,23155639,0,29.65625,-15,-35.375,4668,16121,Industrial
Eta Sagittarii,33768663,0,8.09375,-26.03125,143.34375,4670,3452,Industrial
Eta Scorpii,35054149,0,19.34375,-3.6875,70.78125,4671,8025,Industrial
Eta Serpentis,9826283528,0,-27.59375,5.03125,53.5625,4672,3799,Agriculture
Eta-1 Pictoris,14173620171,0,65.40625,-51.6875,-16.875,4674,15283,Industrial
Eta-2 Hydri,11542400974,0,132.6875,-163.9375,58.03125,4675,4394,Agriculture
Ethen,6514838,0,131.78125,2.71875,-18.5625,4678,6476,Industrial
Ethgreze,8902908,0,-30.03125,72.34375,-23.8125,4681,17908,Agriculture
Ethwain,5755854,0,-24.46875,131.1875,36.28125,4683,7576,Industrial
Etznabal,3922147,0,75.125,-219.375,-59.375,4687,6055,Industrial
Etznabi,6453548,0,64,-159.625,-67.25,4688,9029,Industrial
Euboa,39370813,0,-7.53125,-24.15625,41.5,4692,1731,Industrial
Euburiates,6461125,0,-145.625,-17.15625,-2.875,4694,7473,Industrial
Eulexia,160350,0,-3.5,47.15625,37.90625,4695,10842,Refinery
Euryale,640082,0,35.375,-68.96875,24.8125,4697,19871,High Tech
Eurybia,145173,0,51.40625,-54.40625,-30.5,4698,3013,Industrial
Evangelis,530863,0,353.75,-419.03125,-710,151600,77882,High Tech
Evejitaka,12641679,0,-18.8125,-63.46875,57.0625,4700,6803,Industrial
Evena,34629427,0,9.34375,-2.4375,96.03125,4701,10795,Industrial
Evenses,24022113,0,-133.875,54.03125,-80.5625,4703,1585,Terraforming
Evergreen,39475025,0,-86.6875,25.34375,-3.3125,4706,3350,Industrial
Evnici,5708209,0,-99.28125,-120.25,-71.625,4707,14028,Industrial
Evnike,5115928,0,-146.46875,48.59375,-19.125,4709,17429,Industrial
Ewah,6184829,0,-129.0625,-12.84375,-18,4712,5739,Industrial
